,title,title_label,description,description_label
0,결국  증세론  먼저 꺼내든  증세없는  기본소득  불가능 ,0, 코로나 발 경제 위기 대응을 위해 돈 쓸 곳은 늘어났지만  국세 수입은 줄어들면서 정부의 재정 마련에 대한 우려가 컸다  이 때문에 한국개발원  등 국책연구기관들은 증세를 화두로 꺼내들었지만  정부 여당은 증세에  ,0
1,창녕군   창녕형 비대면 선별진료소 운영,0,  지난  일 창녕군보건소 앞에 설치한 선별진료소에서 검사자가 체온을 측정하고 있다 사진제공 창녕군청   코로나  장기화 대비 비대면 선별진료 도입 경남 창녕군은 지난  월  일 도내 최초로  코로나  선별진료소  ,0
2,이재갑 장관  고용안정지원금 서울센터 방문,0, 이재갑 고용노동부 장관은 월 일 수 시에 코로나 긴급 고용안정지원금 서울 센터 서울 중구 를 방문했다  이번 현장 방문은 코로나 긴급 고용안정지원금 신청을 시작한 지 이틀 만에 약 만건  ,0
3, 부산행 반도 로 이어지는 한국형 좀비 세계관  칸의 선택 받았다,1,하지만 올해 신종  코로나 바이러스 감염증 코로나  여파로 오프라인 행사를 진행하지 않게 되었고  공식 채널   을 통해         명칭의 초청작 리스트를 공개했다  한편  반도 는  월 국내외  ,0
4, 년만 첫  불허 에도 홍콩  톈안문 추모 촛불,0,경찰은  코로나  감염이 우려된다며  명 이상을 모이는 집회를 봉쇄해왔고 지난 홍콩 국가보안법 시위 때도  하지만 홍콩 경찰은  코로나  확산을 막는다며 올해는 이를 불허했다  이런 상황은  년 만에 처음이다  주최  ,0
5,이용빈 원내부대표  코로나  대응 의료진 노동자 건강권 보장해야 ,1,이용빈 의원실 제공 이용빈 민주당 원내부대표가  일  코로나  상시화  장기화에 따라 생활방역 강화하고  없다 면서  코로나  현장을 지켰던 의료진의 열악한 근무환경  부당 처우  과중한 노동강도  인력부족 등의 문제가  ,0
6,수도권  코로나  확진자 산발적으로 늘어 하루 새  명 증가,1,서울과 경기  인천 등 수도권에서 개척교회발  신종  코로나 바이러스 감염증 코로나  확진자가 산발적으로 증가하는 모양새다  이들 중 감염경로를 알지 못하는 확진자도 늘고 있어 방역당국이 긴장하고 있다   일  ,0
7,동작구  전통시장 무료 배송서비스 사업 실시,0,구는 신종  코로나 바이러스 감염증 코로나  장기화로 전통시장 상인들이 매출감소 등 점포 운영에 어려움을 겪자  억여 원을 투입해 온 오프라인 무료 배송서비스 운영을 지원하고 있다  지원 대상은 남성사계시장  ,0
8,서울 건강용품 세미나서 무더기 확진 명 검사,1,수도권을 중심으로  코로나  확산세가 이어지는 가운데  주로 노인들이 참석한 것으로 알려진 다단계식  서울시에 따르면 오늘 오전  시 기준  코로나  확진자는  명으로   명 늘었으며 감염경로는 수도권  ,0
9,중국 굴착기 판매량 상승에도 두산인프라코어 긴장하는 이유는,0,판매량이 급증한 이유는 신종  코로나 바이러스 감염증 코로나  확산세가 주춤하기 때문이다  올해 초만 하더라도 중국은  코로나  여파로 제대로 된 생산활동도 전개하지 못했다  하지만 시간이 지나면서  코로나 가  ,0
10, 유통 나누기 세상 더하기  세븐일레븐  유치원 통학차량에 공기청정기 설치 ,0,맥도날드는  코로나 로 방역 작업에 힘쓰고 있는 대구 지하철 청소 근로자에게 빅맥과 커피를 증정했다  패션업계도 나눔 활동에 동참한다  코오롱인더스트리 임직원들은 성과 포상금 중  만원을  코로나 로 어려움을  ,0
